Date,Open,High,Low,Close,Volume
2024-10-03,138.21,138.90,134.17,135.07,112117500
2024-10-04,136.89,138.66,135.08,136.36,89113600
2024-10-05,137.13,137.77,134.76,135.02,80962700
2024-10-06,136.01,140.29,134.89,139.62,87754700
2024-10-07,140.47,143.41,139.89,140.15,70790800
2024-10-10,140.26,141.26,138.12,140.73,63896200
2024-10-11,141.25,143.51,140.46,143.49,69458900
2024-10-12,143.88,144.26,141.66,143.41,71379600
2024-10-13,142.03,144.92,141.66,144.76,57809700
2024-10-14,144.83,147.28,144.13,145.94,65564300
2024-10-17,146.82,148.61,145.02,145.21,69672800
2024-10-18,145.27,146.28,143.77,145.27,58280400
2024-10-19,145.28,147.90,144.99,147.87,80716800
2024-10-20,148.11,153.16,147.90,153.75,106765600
2024-10-21,153.89,156.71,153.50,156.71,54105100
2024-10-24,157.41,157.92,155.01,156.83,55719400
2024-10-25,157.07,163.44,155.59,163.20,73338200
2024-10-26,157.71,159.05,155.72,155.93,70555800
2024-10-27,154.96,156.83,152.65,153.00,64015300
2024-10-28,152.70,154.34,152.28,154.29,65874500
2024-10-31,153.97,156.61,153.90,155.43,55478800
2024-11-01,158.90,159.72,154.26,160.82,118977300
2024-11-02,163.78,167.38,163.46,164.50,76161100
2024-11-03,163.11,164.56,161.31,161.73,56007100
2024-11-04,164.65,165.23,159.38,164.65,83322600
2024-11-07,163.88,164.58,161.49,161.92,60276900
2024-11-08,160.96,164.56,160.00,160.87,56007200
2024-11-09,161.01,161.54,158.81,161.01,47471800
2024-11-10,160.19,163.25,159.25,163.85,65573900
2024-11-11,163.77,164.34,160.78,163.20,64120100
2024-11-14,163.11,165.48,162.88,165.33,65885400
2024-11-15,163.51,166.33,163.37,163.71,61177400
2024-11-16,162.15,162.55,160.86,162.55,48394200
2024-11-17,160.20,162.34,159.35,158.48,69458500
2024-11-18,158.87,159.99,157.16,158.91,52279300
2024-11-21,160.09,160.34,157.24,159.40,58885400
2024-11-22,157.11,157.19,155.81,156.71,55478700
2024-11-23,157.05,159.08,157.05,157.92,44998500
2024-11-25,157.05,159.08,156.59,157.41,48394100
2024-11-28,156.83,157.23,155.47,155.31,55719300
2024-11-29,154.38,156.71,153.90,155.91,52651500
2024-11-30,158.16,161.07,157.34,161.03,76161000
2024-12-01,163.70,166.39,163.37,163.83,87754600
2024-12-02,163.44,164.01,161.28,161.60,56007000
2024-12-05,162.81,163.40,160.86,162.87,47471700
2024-12-06,160.31,164.57,160.10,160.59,57809600
2024-12-07,158.55,160.35,157.22,158.50,68672700
2024-12-08,157.80,163.14,157.70,160.47,131148600
2024-12-09,161.28,163.40,159.21,162.59,96970100
2024-12-12,162.16,165.49,161.65,162.99,77712400
2024-12-13,162.16,166.46,161.64,165.85,76161100
2024-12-14,166.08,166.74,164.11,165.00,98944000
2024-12-15,165.07,167.82,164.15,167.40,80962600
2024-12-16,167.32,169.30,166.54,169.28,104132700
2024-12-19,169.30,172.14,167.85,167.83,68458400
2024-12-20,168.83,171.55,167.70,168.93,59413500
2024-12-21,168.86,170.34,167.85,170.25,59174600
2024-12-22,169.94,170.77,167.87,168.28,52390500
2024-12-23,167.97,168.49,165.81,167.65,45992200
2024-12-27,169.37,171.05,168.53,170.77,51305400
2024-12-28,171.29,172.47,170.84,172.36,49501700
2024-12-29,172.44,175.00,171.91,174.90,68394400
2024-12-30,174.21,175.90,173.17,174.07,55117500
2025-01-03,130.28,130.90,124.17,125.07,112117500
2025-01-04,126.89,128.66,125.08,126.36,89113600
2025-01-05,127.13,127.77,124.76,125.02,80962700
2025-01-06,126.01,130.29,124.89,129.62,87754700
2025-01-09,130.47,133.41,129.89,130.15,70790800
2025-01-10,130.26,131.26,128.12,130.73,63896200
2025-01-11,131.25,133.51,130.46,133.49,69458900
2025-01-12,133.88,134.26,131.66,133.41,71379600
2025-01-13,132.03,134.92,131.66,134.76,57809700
2025-01-17,134.83,137.28,134.13,135.94,65564300
2025-01-18,136.82,138.61,135.02,135.21,69672800
2025-01-19,135.27,136.28,133.77,135.27,58280400
2025-01-20,135.28,137.90,134.99,137.87,80716800
